"hanzi_sc","hanzi_trad","pinyin","pinyin_style2","level","level_zh","cc_cedict_definitions"
"的","的","de","de","1","Level 1","(bound form) bull's-eye; target"
"在","在","zài","zai4","1","Level 1","to exist; to be alive/(of sb or sth) to be (located) at/(used before a verb to indicate an action in progress)"
"我","我","wǒ","wo3","1","Level 1","I; me; my"
"一","一","yī","yi1","1","Level 1","one/single/a (article)/as soon as/entire; whole; all; throughout/""one"" radical in Chinese characters (Kangxi radical 1)/also pr. [yao1] for greater clarity when spelling out numbers digit by digit"
"有","有","yǒu","you3","1","Level 1","to have; there is/(bound form) having; with; -ful; -ed; -al (as in 有意[you3 yi4] intentional)"
"他","他","tā","ta1","1","Level 1","he; him (used for either sex when the sex is unknown or unimportant)/(used before sb's name for emphasis)/(used as a meaningless mock object)/(literary) other"
"这","這","zhè","zhe4","1","Level 1","(pronoun) this; these/(bound form) this; the (followed by a noun)/(bound form) this; these (followed by a classifier) (in this sense, commonly pr. [zhei4], esp. in Beijing)"
"和","和","hé","he2","1","Level 1","harmonious"
"不","不","bù","bu4","1","Level 1","no; not so/(bound form) not; un-"
"就","就","jiù","jiu4","1","Level 1","(after a suppositional clause) in that case; then/(after a clause of action) as soon as; immediately after/(same as 就是[jiu4 shi4]) merely; nothing else but; simply; just; precisely; exactly/only; as little as/as much as; as many as/to approach; to move towards/to undertake; to engage in/(often followed by 著|着[zhe5]) taking advantage of/(of food) to go with/with regard to; concerning/(pattern: 就[jiu4] ... 也[ye3] ...) even if ... still .../(pattern: 不[bu4] ... 就[jiu4] ...) if not ... then must be ..."
"也","也","yě","ye3","1","Level 1","(adverb) also; both ... and ... (before predicates only)/(literary) particle having functions similar to 啊[a5]"
"人","人","rén","ren2","1","Level 1","person; people"
"你","你","nǐ","ni3","1","Level 1","you"
"们","們","men","men","1","Level 1","plural marker for pronouns, and nouns referring to individuals"
"上","上","shàng","shang4","1","Level 1","(bound form) up; upper; above; previous/first (of multiple parts)/to climb; to get onto; to go up/to attend (class or university)/(directional complement) up/(noun suffix) on; above"
"都","都","dōu","dou1","1","Level 1","capital city/metropolis"
"对","對","duì","dui4","1","Level 1","right; correct/towards; at; for/concerning; regarding/to treat (sb a certain way)/to face/(bound form) opposite; facing; matching/to match together; to adjust/to fit; to suit/to answer; to reply/to add; to pour in (a fluid)/to check; to compare/classifier: couple; pair"
"要","要","yào","yao4","1","Level 1","to want; to need; to ask for/will; shall; about to/need to; should/if (same as 要是[yao4 shi5])/(bound form) important"
"点","點","diǎn","dian3","1","Level 1","point/dot/drop/speck/o'clock/point (in space or time)/to draw a dot/to check on a list/to choose/to order (food in a restaurant)/to touch briefly/to hint/to light/to ignite/to pour a liquid drop by drop/(old) one fifth of a two-hour watch 更[geng1]/dot stroke in Chinese characters/classifier for items"
"到","到","dào","dao4","1","Level 1","to reach; to arrive/to leave for; to go to/to (a place); until (a time); up to (a point)/(verb complement indicating arriving at a place or reaching a point)/considerate; thoughtful; thorough"
"多","多","duō","duo1","1","Level 1","many; much/too many; in excess/(after a numeral) ... odd/how (to what extent) (Taiwan pr. [duo2])/(bound form) multi-; poly-"
"会","會","huì","hui4","1","Level 1","to balance an account/accounting/accountant"
"着","著","zhe","zhe","1","Level 1","to wear (clothes)/to contact/to use/to apply"
"来","來","lái","lai2","1","Level 1","to come/(used as a substitute for a more specific verb)/hither (directional complement for motion toward the speaker, as in 回來|回来[hui2 lai5])/ever since (as in 自古以來|自古以来[zi4 gu3 yi3 lai2])/for the past (amount of time)/(prefix) the coming ...; the next ... (as in 來世|来世[lai2 shi4])/(between two verbs) in order to/(after a round number) approximately/(used after 得[de2] to indicate possibility, as in 談得來|谈得来[tan2 de5 lai2], or after 不[bu4] to indicate impossibility, as in 吃不來|吃不来[chi1 bu5 lai2])"
"她","她","tā","ta1","1","Level 1","she"
"还","還","hái","hai2","1","Level 1","to pay back/to return"
"没","沒","méi","mei2","1","Level 1","drowned/to end/to die/to inundate"
"很","很","hěn","hen3","1","Level 1","(adverb of degree)/quite/very/awfully"
"好","好","hǎo","hao3","1","Level 1","to be fond of; to have a tendency to; to be prone to"
"中","中","zhōng","zhong1","1","Level 1","to hit (the mark)/to be hit by/to suffer/to win (a prize, a lottery)"
"年","秊年","nián","nian2","1","Level 1","grain/harvest (old)/variant of 年[nian2]"
"大","大","dà","da4","1","Level 1","big"
"给","給","gěi","gei3","1","Level 1","to supply/to provide"
"从","從","cóng","cong2","1","Level 1","from; through; via/(bound form) to follow/(bound form) to obey/(bound form) to engage in (an activity)/(used before a negative) ever/(bound form) (Taiwan pr. [zong4]) retainer; attendant/(bound form) (Taiwan pr. [zong4]) assistant; auxiliary; subordinate/(bound form) (Taiwan pr. [zong4]) related by common paternal grandfather or earlier ancestor"
"看","看","kàn","kan4","1","Level 1","to see; to look at/to read/to watch/to visit; to call on/to consider; to regard as/to look after/to treat (a patient or illness)/to depend on/to feel (that)/(after a verb) to give it a try/to watch out for"
"去","去","qù","qu4","1","Level 1","to go/to go to (a place)/(of a time etc) last/just passed/to send/to remove/to get rid of/to reduce/to be apart from in space or time/to die (euphemism)/to play (a part)/(when used either before or after a verb) to go in order to do sth/(after a verb of motion indicates movement away from the speaker)/(used after certain verbs to indicate detachment or separation)"
"能","能","néng","neng2","1","Level 1","can/to be able to/might possibly/ability/(physics) energy"
"两","兩","liǎng","liang3","1","Level 1","two/both/some/a few/tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old)"
"下","下","xià","xia4","1","Level 1","down/downwards/below/lower/later/next (week etc)/second (of two parts)/to decline/to go down/to arrive at (a decision, conclusion etc)/measure word to show the frequency of an action"
"做","做","zuò","zuo4","1","Level 1","to make; to produce/to write; to compose/to do; to engage in; to hold (a party etc)/(of a person) to be (an intermediary, a good student etc); to become (husband and wife, friends etc)/(of a thing) to serve as; to be used for/to assume (an air or manner)"
"等","等","děng","deng3","1","Level 1","to wait for; to await/by the time; when; till/and so on; etc.; et al./(bound form) class; rank; grade/(bound form) equal to; same as/(used to end an enumeration)/(literary) (plural suffix attached to a personal pronoun or noun)"
"三","三","sān","san1","1","Level 1","three/3"
"里","里裡","lǐ","li3","1","Level 1","li, ancient measure of length, approx. 500 m/neighborhood/ancient administrative unit of 25 families"
"过","過","guò","guo4","1","Level 1","(experienced action marker)"
"那","那","nà","na4","1","Level 1","(archaic) many/beautiful/how/that"
"后","後后","hòu","hou4","1","Level 1","back/behind/rear/afterwards/after/later/post-"
"想","想","xiǎng","xiang3","1","Level 1","to think (about)/to think of; to devise/to think (that); to believe (that)/to desire; to want (to)/to miss (feel wistful about the absence of)"
"地","地","dì","di4","1","Level 1","earth/ground/field/place/land"
"用","用","yòng","yong4","1","Level 1","to use/to employ/to have to/to eat or drink/expense or outlay/usefulness/hence/therefore"
"出","出","chū","chu1","1","Level 1","to go out; to leave; to exit"
"现","現","xiàn","xian4","1","Level 1","to appear/present/now/existing/current"
"次","次","cì","ci4","1","Level 1","next in sequence/second/the second (day, time etc)/secondary/vice-/sub-/infra-/inferior quality/substandard/order/sequence/hypo- (chemistry)/classifier for enumerated events: time"
"最","最","zuì","zui4","1","Level 1","most/the most/-est (superlative suffix)"
"什","什","shén","shen2","1","Level 1","ten (used in fractions, writing checks etc)/assorted/miscellaneous"
"小","小","xiǎo","xiao3","1","Level 1","small/tiny/few/young"
"月","月","yuè","yue4","1","Level 1","moon/month/monthly"
"天","天","tiān","tian1","1","Level 1","day/sky/heaven"
"工","工","gōng","gong1","1","Level 1","work/worker/skill/profession/trade/craft/labor"
"作","作","zuò","zuo4","1","Level 1","to do; to engage in/to write; to compose/to pretend; to feign/to regard as; to consider to be/to be; to act the part of/to feel (itchy, nauseous etc)/writings; works"
"家","家","jiā","jia1","1","Level 1","home/family/(polite) my (sister, uncle etc)/classifier for families or businesses/refers to the philosophical schools of pre-Han China/noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian/CL:個|个[ge4]"
"再","再","zài","zai4","1","Level 1","again; once more; re-/second; another/then (after sth, and not until then)/no matter how ... (followed by an adjective or verb, and then (usually) 也[ye3] or 都[dou1] for emphasis)"
"时","時","shí","shi2","1","Level 1","o'clock/time/when/hour/season/period"
"间","間","jiān","jian1","1","Level 1","gap/to separate/to thin out (seedlings)/to sow discontent"
"前","前","qián","qian2","1","Level 1","front/forward/ahead/first/top (followed by a number)/future/ago/before/BC/former/formerly"
"新","新","xīn","xin1","1","Level 1","new/newly/meso- (chemistry)"
"候","候","hòu","hou4","1","Level 1","to wait/to inquire after/to watch/season/climate/(old) period of five days"
"些","些","xiē","xie1","1","Level 1","classifier indicating a small amount or small number greater than 1: some, a few, several"
"比","比","bǐ","bi3","1","Level 1","to compare/(followed by a noun and adjective) more {adj.} than {noun}/ratio/to gesture"
"走","走","zǒu","zou3","1","Level 1","to walk/to go/to run/to move (of vehicle)/to visit/to leave/to go away/to die (euph.)/from/through/away/to change (shape, form, meaning)"
"太","太","tài","tai4","1","Level 1","highest/greatest/too (much)/very/extremely"
"找","找","zhǎo","zhao3","1","Level 1","to try to find/to look for/to call on sb/to find/to seek/to return/to give change"
"四","四","sì","si4","1","Level 1","four/4"
"几","幾几","jǐ","ji3","1","Level 1","how much/how many/several/a few"
"本","本","běn","ben3","1","Level 1","root/stem/origin/source/this/the current/original/inherent/originally/classifier for books, periodicals, files etc"
"打","打","dǎ","da3","1","Level 1","to beat/to strike/to hit/to break/to type/to mix up/to build/to fight/to fetch/to make/to tie up/to issue/to shoot/to calculate/to play (a game)/since/from"
"呢","呢","ne","ne","1","Level 1","woolen material"
"事","事","shì","shi4","1","Level 1","matter/thing/item/work/affair"
"起","起","qǐ","qi3","1","Level 1","to rise/to raise/to get up/to set out/to start/to appear/to launch/to initiate (action)/to draft/to establish/to get (from a depot or counter)/verb suffix, to start/starting from (a time, place, price etc)/classifier for occurrences or unpredictable events: case, instance/classifier for groups: batch, group"
"车","車","chē","che1","1","Level 1","war chariot (archaic)/rook (in Chinese chess)/rook (in chess)"
"非","非","fēi","fei1","1","Level 1","to not be; not/wrong; incorrect/non-; un-; in-; de-/to reproach; to blame/(coll.) to insist on; simply must"
"常","常","cháng","chang2","1","Level 1","always/ever/often/frequently/common/general/constant"
"知","知","zhī","zhi1","1","Level 1","to know/to be aware"
"道","道","dào","dao4","1","Level 1","road/path/to say/to speak/to talk/classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process/(old) circuit (administrative division)"
"手","手","shǒu","shou3","1","Level 1","hand/(formal) to hold/person engaged in certain types of work/person skilled in certain types of work/personal(ly)/convenient/classifier for skill"
"今","今","jīn","jin1","1","Level 1","now/the present time/current/contemporary/this (day, year etc)"
"五","五","wǔ","wu3","1","Level 1","five/5"
"二","二","èr","er4","1","Level 1","two/2/(Beijing dialect) stupid"
"吗","嗎","ma","ma","1","Level 1","(question particle for ""yes-no"" questions)"
"真","真","zhēn","zhen1","1","Level 1","really/truly/indeed/real/true/genuine"
"跟","跟","gēn","gen1","1","Level 1","heel/to follow closely/to go with/(of a woman) to marry sb/with/compared with/to/towards/and (joining two nouns)"
"孩","孩","hái","hai2","1","Level 1","(bound form) child"
"子","子","zi","zi","1","Level 1","(noun suffix)"
"高","高","gāo","gao1","1","Level 1","high/tall/above average/loud/your (honorific)"
"日","日","rì","ri4","1","Level 1","sun/day/date, day of the month"
"觉","覺","jué","jue2","1","Level 1","to feel/to find that/thinking/awake/aware"
"得","得","dé","de2","1","Level 1","to have to/must/ought to/to need to"
"吧","吧","ba","ba","1","Level 1","(onom.) smack!"
"钱","錢","qián","qian2","1","Level 1","coin/money"
"开","開","kāi","kai1","1","Level 1","to open (transitive or intransitive)/(of ships, vehicles, troops etc) to start/to turn on; to put in operation; to operate; to run/to boil/to write out (a prescription, check, invoice etc)/(directional complement) away; off/carat (gold)/abbr. for Kelvin, 開爾文|开尔文[Kai1 er3 wen2]/abbr. for 開本|开本[kai1 ben3], book format"
"岁","歲","suì","sui4","1","Level 1","classifier for years (of age)/year/year (of crop harvests)"
"身","身","shēn","shen1","2","Level 2","body/life/oneself/personally/one's morality and conduct/the main part of a structure or body/pregnant/classifier for sets of clothes: suit, twinset/Kangxi radical 158"
"重","重","zhòng","zhong4","2","Level 2","heavy/serious/to attach importance to"
"爱","愛","ài","ai4","2","Level 2","to love; to be fond of; to like/affection/to be inclined (to do sth); to tend to (happen)"
"国","國","guó","guo2","2","Level 2","country; nation; state/(bound form) national"
"买","買","mǎi","mai3","2","Level 2","to buy/to purchase"
"号","號","hào","hao4","2","Level 2","ordinal number/day of a month/mark/sign/business establishment/size/ship suffix/horn (wind instrument)/bugle call/assumed name/to take a pulse/classifier used to indicate number of people"
"喜","喜","xǐ","xi3","2","Level 2","to be fond of/to like/to enjoy/to be happy/to feel pleased/happiness/delight/glad"
"欢","驩讙歡","huān","huan1","2","Level 2","happy/pleased/glad/joyous"
"怎","怎","zěn","zen3","2","Level 2","how"
"分","分","fēn","fen1","2","Level 2","part/share/ingredient/component"
"谁","誰","shuí","shui2","2","Level 2","who"
"告","告","gào","gao4","2","Level 2","to say/to tell/to announce/to report/to denounce/to file a lawsuit/to sue"
"诉","訴","sù","su4","2","Level 2","to complain/to sue/to tell"
"样","樣","yàng","yang4","2","Level 2","manner/pattern/way/appearance/shape/classifier: kind, type"
"方","方","fāng","fang1","2","Level 2","square/power or involution (math.)/upright/honest/fair and square/direction/side/party (to a contract, dispute etc)/place/method/prescription (medicine)/just when/only or just/classifier for square things/abbr. for square or cubic meter"
"十","十","shí","shi2","2","Level 2","ten/10"
"见","見","jiàn","jian4","2","Level 2","to see/to appear"
"六","六","liù","liu4","2","Level 2","six/6"
"问","問","wèn","wen4","2","Level 2","to ask; to inquire"
"正","正","zhèng","zheng4","2","Level 2","straight/upright/proper/main/principal/to correct/to rectify/exactly/just (at that time)/right (in that place)/(math.) positive"
"快","快","kuài","kuai4","2","Level 2","rapid/quick/speed/rate/soon/almost/to make haste/clever/sharp (of knives or wits)/forthright/plainspoken/gratified/pleased/pleasant"
"住","住","zhù","zhu4","2","Level 2","to live/to dwell/to stay/to reside/to stop/(suffix indicating firmness, steadiness, or coming to a halt)"
"请","請","qǐng","qing3","2","Level 2","to ask/to invite/please (do sth)/to treat (to a meal etc)/to request"
"水","水","shuǐ","shui3","2","Level 2","water/river/liquid/beverage/additional charges or income/(of clothes) classifier for number of washes"
"东","東","dōng","dong1","2","Level 2","east/host (i.e. sitting on east side of guest)/landlord"
"西","西","xī","xi1","2","Level 2","west"
"听","聽听","tīng","ting1","2","Level 2","to listen to; to hear/to heed; to obey/a can (loanword from English ""tin"")/classifier for canned beverages/to let be"
"老","老","lǎo","lao3","2","Level 2","prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity/old (of people)/venerable (person)/experienced/of long standing/always/all the time/of the past/very/outdated/(of meat etc) tough"
"机","機","jī","ji1","2","Level 2","(bound form) machine; mechanism/(bound form) aircraft/(bound form) an opportunity/(bound form) crucial point; pivot/(bound form) quick-witted; flexible/(bound form) organic"
"电","電","diàn","dian4","2","Level 2","lightning/electricity/electric (bound form)/to get (or give) an electric shock/phone call or telegram etc/to send via telephone or telegram etc"
"行","行","xíng","xing2","2","Level 2","to walk/to go/to travel/a visit/temporary/makeshift/current/in circulation/to do/to perform/capable/competent/effective/all right/OK!/will do/behavior/conduct/Taiwan pr. [xing4] for the behavior-conduct sense"
"朋","朋","péng","peng2","2","Level 2","friend"
"友","友","yǒu","you3","2","Level 2","friend"
"拿","拿","ná","na2","2","Level 2","to hold/to seize/to catch/to apprehend/to take"
"路","路","lù","lu4","2","Level 2","road/journey/route/line (bus etc)/sort; kind"
"外","外","wài","wai4","2","Level 2","outside/in addition/foreign/external"
"放","放","fàng","fang4","2","Level 2","to put/to place/to release/to free/to let go/to let out/to set off (fireworks)"
"学","學","xué","xue2","2","Level 2","to learn/to study/to imitate/science/-ology"
"校","校","xiào","xiao4","2","Level 2","(bound form) school; college/(bound form) (military) field officer"
"别","別彆","bié","bie2","2","Level 2","to make sb change their ways, opinions etc"
"站","站","zhàn","zhan4","2","Level 2","station/to stand/to halt/to stop/branch of a company or organization/website"
"准","準准","zhǔn","zhun3","2","Level 2","accurate/standard/definitely/certainly/about to become (bride, son-in-law etc)/quasi-/para-"
"备","備","bèi","bei4","2","Level 2","(bound form) to prepare; to equip/(literary) fully; in every possible way"
"元","元","yuán","yuan2","2","Level 2","currency unit (esp. Chinese yuan)/(bound form) first; original; primary/(bound form) basic; fundamental/(bound form) constituent; part/(prefix) meta-/(math.) argument; variable/era (of a reign)/(Tw) (geology) eon"
"进","進","jìn","jin4","2","Level 2","to go forward/to advance/to go in/to enter/to put in/to submit/to take in/to admit/(math.) base of a number system/classifier for sections in a building or residential compound"
"写","寫","xiě","xie3","2","Level 2","to write"
"先","先","xiān","xian1","2","Level 2","beforehand; first; earlier/at first; originally/for the time being; for now/(prefix) my late (in referring to deceased relatives older than oneself)"
"您","您","nín","nin2","2","Level 2","you (courteous)"
"生","生","shēng","sheng1","2","Level 2","to be born/to give birth/life/to grow/raw/uncooked/student"
"门","門","mén","men2","2","Level 2","gate/door/opening/valve/switch/way to do something/knack/family/house/(religious) sect/school (of thought)/class/category/phylum or division (taxonomy)/classifier for large guns/classifier for lessons, subjects, branches of technology/(suffix) -gate (i.e. scandal; derived from Watergate)"
"八","八","bā","ba1","2","Level 2","eight; 8"
"七","七","qī","qi1","2","Level 2","seven/7"
"送","送","sòng","song4","2","Level 2","to send; to deliver; to transmit/to give (as a present)/to see (sb) off/to accompany; to go along with"
"花","花","huā","hua1","2","Level 2","flower/blossom"
"第","第","dì","di4","2","Level 2","(prefix indicating ordinal number)/(literary) grades in which successful candidates in the imperial examinations were placed/(old) residence of a high official/(literary) but; however/(literary) only; just"
"块","塊","kuài","kuai4","2","Level 2","lump; chunk; piece/classifier for pieces of cloth, cake, soap etc/(coll.) classifier for money and currency units"
"坐","坐","zuò","zuo4","2","Level 2","to sit/to take a seat/to take (a bus, airplane etc)/to bear fruit"
"影","影","yǐng","ying3","2","Level 2","picture/image/film/movie/photograph/reflection/shadow/trace"
"昨","昨","zuó","zuo2","2","Level 2","yesterday"
"笑","笑","xiào","xiao4","2","Level 2","to laugh; to smile/to laugh at"
"介","介","jiè","jie4","2","Level 2","to introduce/to lie between/between/shell/armor"
"绍","紹","shào","shao4","2","Level 2","to continue/to carry on"
"书","書","shū","shu1","2","Level 2","book/letter/document"
"少","少","shǎo","shao3","2","Level 2","young"
"楼","樓","lóu","lou2","2","Level 2","house with more than 1 story/storied building/floor"
"医","醫","yī","yi1","2","Level 2","medical/medicine/doctor/to cure/to treat"
"院","院","yuàn","yuan4","2","Level 2","courtyard/institution"
"早","早","zǎo","zao3","2","Level 2","early/morning/Good morning!/long ago/prematurely"
"晚","晚","wǎn","wan3","2","Level 2","evening/night/late"
"男","男","nán","nan2","2","Level 2","male/Baron, lowest of five orders of nobility"
"习","習","xí","xi2","2","Level 2","(bound form) to practice/to study/habit/custom"
"口","口","kǒu","kou3","2","Level 2","mouth/classifier for things with mouths (people, domestic animals, cannons, wells etc)/classifier for bites or mouthfuls"
"穿","穿","chuān","chuan1","2","Level 2","to wear/to put on/to dress/to bore through/to pierce/to perforate/to penetrate/to pass through/to thread"
